1523204518 5 ot hades 76 38 56070 17228 0 0 0 4000 1230 18180 5490 20400 6580 9800 4100 3690 261 0 0
1523204518 5 ot __FRY__ 38 76 47310 8319 0 100 0 4000 670 15990 2100 12960 2343 12100 3100 2160 216 0 0
1523206889 5 legazzo starch 85 85 76860 19424 1 0 0 5800 980 34650 8130 27360 8121 6800 2700 2250 165 0 0
1523206889 5 legazzo Honzik1 82 88 64600 18712 2 0 0 1600 260 33540 7740 15000 6233 11400 5100 3060 254 0 0
1523207563 5 memento hades 60 82 53040 13300 0 0 0 2000 850 25890 6240 10560 3324 7300 2900 7290 186 0 0
1523207563 5 memento starch 81 61 61210 18273 1 0 0 3400 1160 27030 7800 18000 4703 9000 4800 3780 205 0 0
1523208689 5 frozen __FRY__ 44 93 49110 9531 1 0 0 4400 540 30030 5370 10800 2873 3700 1000 180 0 0 0
1523208689 5 frozen starch 92 45 60640 21172 0 0 0 6000 1880 22260 6870 19560 8032 8500 4400 4320 634 0 0
1523209566 5 legazzo __FRY__ 52 99 57500 11767 1 0 0 5800 940 24060 3750 19440 5024 8200 2400 0 0 0 0
1523209566 5 legazzo Honzik1 98 53 61100 21793 0 0 0 2800 680 26130 6720 16800 7467 14200 7200 1170 121 0 0
1523210325 5 legazzo Lokio 82 60 62410 17969 0 0 0 2600 1050 25350 6360 21960 5196 11600 5500 900 43 0 0
1523210325 5 legazzo Khornettoh 60 82 73320 13262 0 0 0 5200 810 33390 5340 21120 3625 11900 3600 1710 235 0 0
1523211355 5 academy notas 57 61 51600 13102 2 0 0 1200 470 17940 4290 25200 6308 5100 2100 2160 209 0 0
1523211355 5 academy lagout 59 59 56950 13165 0 0 0 2200 820 23940 6480 20760 4115 4200 1700 5850 250 0 0
1523212261 5 legazzo Lokio 79 90 68740 17881 2 0 0 1400 290 40200 11100 16200 3371 10400 3300 540 0 0 0
1523212261 5 legazzo lagout 86 83 73310 19676 2 0 0 5200 1200 37200 9990 25680 7196 3700 1600 1530 33 0 0
